config,precision,recall,f1,tp,fp,fn,avg_latency_ms,fps,recall_bright,recall_normal,recall_dim,recall_dark
"Config A: YOLOv5 baseline (stock, person-class)",0.7318156579677957,0.5355546525802519,0.6184889723134679,2636,966,2286,37.40112622578939,26.737162778549298,0.0,0.674364896073903,0.6431818181818182,0.48934993084370676
"Config B: YOLOv8 baseline (stock, person-class)",0.7156614292954891,0.5737505079236083,0.6368967072620659,2824,1122,2098,38.81418665250142,25.763775728521004,0.0,0.7251732101616628,0.7113636363636363,0.5208852005532504
Config C: YOLOv8 fine-tuned face detector,0.8789173789173789,0.25071109305160505,0.39013594688586783,1234,170,3688,16.161195039749146,61.87661231365982,0.0,0.37066974595842955,0.22727272727272727,0.22489626556016598
Config D (proposed): fine-tuned face detector + TD-FALE-GAN,0.4,0.013409183258837871,0.02594849616669943,66,99,4856,904.3700218200684,1.105742092144401,0.0,0.0,0.0022727272727272726,0.017980636237897647
